id;title;release_dates;publisher;dev;support_dev;genres;game_modes;themes;mult_modes;game_eng;series;perspective
1890;dead-by-daylight;"Jun 14, 2016 - PC (Microsoft Windows); Jun 20, 2017 - PlayStation 4; Jun 20, 2017 - Xbox One; Sep 24, 2019 - Nintendo Switch";Starbreeze publishing AB;Behaviour Interactive;;;Co-operative, Multiplayer;Action, Horror, Stealth, Survival;;Unreal Engine;;First person, Third person
1891;dead-cells;"Aug 07, 2018 - Mac; Aug 07, 2018 - PlayStation 4; Aug 07, 2018 - Xbox One; Aug 07, 2018 - Linux; Aug 07, 2018 - PC (Microsoft Windows); Aug 07, 2018 - Nintendo Switch; Aug 28, 2019 - iOS; Jun 03, 2020 - Android";Motion Twin;Motion Twin;;Adventure, Indie, Platform;Single player;Action, Fantasy, Science fiction;;Heaps.io;;Side view
1892;deadcore;"Oct 17, 2014 - Mac; Oct 17, 2014 - Linux; Oct 17, 2014 - PC (Microsoft Windows)";Bandai Namco Entertainment;5 Bits Games;;Indie, Platform, Shooter, Strategy;Single player;Action, Science fiction;;Unity;;First person
1893;dead-effect;"Nov 03, 2014 - Mac; Nov 03, 2014 - PC (Microsoft Windows)";BadFly Interactive, a.s.;BadFly Interactive, a.s.;;Adventure, Indie, Shooter;Single player;Action, Comedy, Horror, Science fiction;;;Dead Effect;First person
1894;dead-effect-2;"Oct 28, 2015 - Android; Oct 28, 2015 - iOS; May 06, 2016 - Mac; May 06, 2016 - PC (Microsoft Windows); Jun 01, 2016 - PlayStation 4; Jun 01, 2016 - Xbox One";BadFly Interactive, a.s.;BadFly Interactive, a.s.;;Indie, Role-playing (RPG), Shooter;Co-operative, Multiplayer, Single player;Action, Horror, Science fiction;PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 3, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;Unity;Dead Effect;First person
1895;deadfall-adventures;"Nov 15, 2013 - Linux; Nov 15, 2013 - PC (Microsoft Windows); Nov 15, 2013 - Xbox 360; Oct 28, 2014 - PlayStation 3";Nordic Games Publishing;The Farm 51;;Adventure, Puzzle, Shooter;Co-operative, Multiplayer, Single player;Action, Fantasy, Historical;PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;Unreal Engine 3;;First person
1896;dead-head-fred;Aug 28, 2007 - PlayStation Portable;D3 Publisher;Vicious Cycle Software;;Adventure, Platform;Single player;Action, Comedy, Horror, Mystery;;;;Third person
1897;dead-horde;"Jun 03, 2011 - PC (Microsoft Windows); Jul 27, 2011 - Linux";DnS Development;DnS Development;;Indie, Shooter;Co-operative, Multiplayer, Single player;Action, Horror, Survival;PC (Microsoft Windows): Offline Co-op max players: 2, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op  yes, Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;;;Bird view / Isometric
1898;dead-in-vinland;"Apr 13, 2018 - Mac; Apr 13, 2018 - PC (Microsoft Windows); Jul 11, 2019 - Nintendo Switch";Playdius, Plug In Digital;CCCP;;Adventure, Indie, Role-playing (RPG), Simulator, Strategy;Single player;;;;;
1899;dead-island;"Sep 06, 2011 - PlayStation 3; Sep 06, 2011 - PC (Microsoft Windows); Sep 06, 2011 - Xbox 360";Deep Silver;Techland;;Hack and slash/Beat 'em up, Shooter;Co-operative, Multiplayer, Single player;Action, Horror, Survival;PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 4, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op  yes, Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;Chrome Engine;Dead Island;First person
1900;dead-island-definitive-collection;"May 31, 2016 - PlayStation 4; May 31, 2016 - Xbox One; May 31, 2016 - PC (Microsoft Windows)";Deep Silver;Techland;;Adventure, Hack and slash/Beat 'em up, Role-playing (RPG), Shooter;Co-operative, Multiplayer, Single player;Action, Horror, Survival;"All platforms: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ; PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 4, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes; Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ";;Dead Island;First person
1901;dead-island-riptide;"Apr 23, 2013 - PlayStation 3; Apr 23, 2013 - PC (Microsoft Windows); Apr 23, 2013 - Xbox 360";Deep Silver;Techland;;Hack and slash/Beat 'em up, Role-playing (RPG), Shooter;Multiplayer, Single player;Horror, Survival;Xbox 360: Offline Co-op max players: 0, Online Co-op max players: 4, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op  yes, Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;Chrome Engine;Dead Island;First person
1902;dead-island-ryder-white;"Jan 31, 2012 - PlayStation 3; Feb 01, 2012 - PC (Microsoft Windows); Feb 01, 2012 - Xbox 360";Deep Silver;Techland;;Hack and slash/Beat 'em up, Shooter;Single player;Action, Horror, Survival;;Chrome Engine;Dead Island;First person
1903;deadliest-catch-alaskan-storm;"Jun 17, 2008 - Xbox 360; Aug 19, 2008 - PC (Microsoft Windows)";Greenwave Games;Liquid Dragon Studios;;Simulator;Single player;;;;Deadliest Catch;
1904;deadliest-catch-sea-of-chaos;"Nov 29, 2010 - PlayStation 3; Dec 29, 2010 - Xbox 360";Crave Entertainment;;;Sport, Strategy;;;;;Deadliest Catch;
1905;deadliest-warrior-legends;"Jul 26, 2011 - PlayStation 3; Aug 06, 2011 - Xbox 360";;;;Fighting;;Historical;;;Deadliest Warrior;
1906;deadliest-warrior-the-game;;;;;Fighting;;Historical;;;Deadliest Warrior;
1907;deadlight;"Aug 01, 2012 - Xbox 360; Oct 25, 2012 - PC (Microsoft Windows)";Microsoft Studios;Tequila Works;;Adventure, Indie, Platform, Puzzle;Single player;Action, Fantasy, Historical, Horror, Survival;;Unreal Engine;;Side view
1908;deadly-creatures;Feb 09, 2009 - Wii;THQ;Rainbow Studios;;Fighting, Hack and slash/Beat 'em up, Platform, Sport;Single player;Action, Science fiction, Survival;;;;Third person
1909;deadly-dozen;Oct 31, 2001 - PC (Microsoft Windows);Infogrames;nFusion Interactive;;Shooter, Strategy, Tactical;Co-operative, Multiplayer, Single player;Action, Warfare;;;Deadly Dozen;First person, Third person
1910;deadly-dozen-pacific-theater;Oct 31, 2002 - PC (Microsoft Windows);Infogrames;nFusion Interactive;;Shooter, Strategy, Tactical;Co-operative, Multiplayer, Single player;Action, Warfare;;;Deadly Dozen;First person, Third person
1911;deadly-premonition;"Feb 17, 2010 - Xbox 360; Mar 11, 2010 - PlayStation 3";Ignition Entertainment, Rising Star Games, Marvelous Entertainment;Access Games;;Adventure, Shooter;Single player;Action, Horror, Open world, Thriller;;;Deadly Premonition;Third person
1912;deadly-premonition-origins;Sep 04, 2019 - Nintendo Switch;ToyBox;ToyBox;;Adventure;;Action;;;Deadly Premonition;
1913;dead-nation;"Nov 30, 2010 - PlayStation 3; Apr 15, 2014 - PlayStation Network; Apr 15, 2014 - PlayStation Vita";Sony Computer Entertainment, Inc. (SCEI);Housemarque;Climax Studios;Hack and slash/Beat 'em up, Shooter;Co-operative, Single player;Action, Horror, Science fiction, Survival;All platforms: Offline Co-op max players: , Online Co-op max players: , Online max players: , Offline max players: , Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;Havok;;Bird view / Isometric
1914;dead-nation-apocalypse-edition;"Mar 04, 2014 - PlayStation Network; Apr 04, 2014 - PlayStation 4";Sony Computer Entertainment;;;Hack and slash/Beat 'em up, Shooter;;Action, Horror, Science fiction, Survival;All platforms: Offline Co-op max players: , Online Co-op max players: , Online max players: , Offline max players: , Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;;
1915;dead-nation-road-of-devastation;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again
1916;dead-or-alive;"Nov 26, 1996 - Arcade; Oct 09, 1997 - Sega Saturn; Mar 12, 1998 - PlayStation; Dec 10, 2008 - PlayStation Network";Tecmo;Team Ninja;;Arcade, Fighting;Multiplayer, Single player;Action;;;Dead or Alive;Third person
1917;dead-or-alive-3;Nov 15, 2001 - Xbox;Tecmo Co., Ltd.;Team Ninja;;Fighting;Single player, Split screen;Action;;;Dead or Alive;Third person
1918;dead-or-alive-4;Dec 29, 2005 - Xbox 360;Koei Tecmo Games;Team Ninja;;Arcade, Fighting;Multiplayer, Single player;Action;;;Dead or Alive;Side view
1919;dead-or-alive-5;"Sep 25, 2012 - PlayStation 3; Sep 25, 2012 - Xbox 360";Koei Tecmo Games;Team Ninja;;Fighting;Multiplayer, Single player;Action;;;Dead or Alive;Side view
1920;dead-or-alive-5-last-round;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again
1921;dead-or-alive-5-plus;Mar 19, 2013 - PlayStation Vita;Koei Tecmo Games;Team Ninja;;Fighting;Multiplayer, Single player;Action;;;Dead or Alive;First person, Side view
1922;dead-or-alive-5-ultimate;"Sep 03, 2013 - PlayStation 3; Sep 03, 2013 - Xbox 360; Dec 24, 2013 - Arcade";Koei Tecmo Games;Team Ninja;;Fighting;Multiplayer, Single player, Split screen;Action;;;Dead or Alive;Third person
1923;dead-or-alive-6;"Mar 01, 2019 - PlayStation 4; Mar 01, 2019 - Xbox One; Mar 01, 2019 - PC (Microsoft Windows)";Koei Tecmo Games;Team Ninja;;Fighting;Multiplayer, Single player;Action;;;Dead or Alive;Side view
1924;dead-or-alive-dimensions;May 19, 2011 - Nintendo 3DS;Koei Tecmo Games, Nintendo;Team Ninja;;Fighting;Multiplayer, Single player;Action;Nintendo 3DS: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op , LAN Co-op  yes, Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Dead or Alive;Third person
1925;dead-or-alive-paradise;Mar 30, 2010 - PlayStation Portable;Koei Tecmo Games;Project Venus;;Simulator, Sport;Single player;Action, Comedy;;;Dead or Alive;First person, Third person
1926;dead-or-alive-ultimate;Oct 26, 2004 - Xbox;Tecmo Co., Ltd.;Team Ninja;;Fighting;Multiplayer, Single player, Split screen;Action;;;Dead or Alive;Third person
1927;dead-or-alive-xtreme-2;Nov 13, 2006 - Xbox 360;Tecmo Co., Ltd.;Team Ninja;;Fighting, Sport, Turn-based strategy (TBS);Multiplayer, Single player;Comedy;;;Dead or Alive;Third person
1928;dead-or-alive-xtreme-3-fortune;"Mar 24, 2016 - PlayStation Vita; Mar 24, 2016 - PlayStation 4";Koei Tecmo;;;Sport;;;;;Dead or Alive;
1929;dead-or-alive-xtreme-beach-volleyball;Jan 22, 2003 - Xbox;Tecmo;Team Ninja;;Simulator, Sport;Multiplayer, Single player;Action, Comedy;;;Dead or Alive;Third person
1930;dead-or-school;"Aug 29, 2019 - PlayStation 4; Aug 29, 2019 - Nintendo Switch";Studio Nanafushi;Studio Nanafushi;;Hack and slash/Beat 'em up, Indie, Role-playing (RPG);Single player;Action, Erotic;;;;Side view
1931;deadpool;"Jun 25, 2013 - PlayStation 3; Jun 25, 2013 - PC (Microsoft Windows); Jun 25, 2013 - Xbox 360; Nov 17, 2015 - PlayStation 4; Nov 17, 2015 - Xbox One";Activision;High Moon Studios;Mercenary Technology, Iron Galaxy Studios;Adventure, Hack and slash/Beat 'em up, Shooter;Single player;Action, Comedy;All platforms: Offline Co-op max players: , Online Co-op max players: , Online max players: , Offline max players: , Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;Unreal Engine;Marvel;Third person
1932;dead-reefs;Aug 03, 2007 - PC (Microsoft Windows);;;;Adventure;;Fantasy, Historical, Horror;;;;
1933;dead-rising;"Aug 08, 2006 - Xbox 360; Sep 13, 2016 - PlayStation Network; Sep 13, 2016 - PlayStation 4; Sep 13, 2016 - Xbox One; Sep 13, 2016 - PC (Microsoft Windows)";Capcom;Capcom Production Studio 1, QLOC;;Adventure, Hack and slash/Beat 'em up;Single player;Action, Comedy, Horror, Sandbox, Survival;;MT Framework;Dead Rising;Third person
1934;dead-rising-2;"Sep 24, 2010 - PlayStation 3; Sep 24, 2010 - Xbox 360; Sep 27, 2010 - Linux; Sep 28, 2010 - PC (Microsoft Windows); Sep 13, 2016 - PlayStation Network; Sep 13, 2016 - PlayStation 4; Sep 13, 2016 - Xbox One";Capcom;Blue Castle Games, Capcom, Mercenary Technology;;Adventure, Hack and slash/Beat 'em up;Co-operative, Multiplayer, Single player;Action, Comedy, Horror, Sandbox, Survival;"Xbox 360: Offline Co-op max players: 0, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes; PlayStation 3: Offline Co-op max players: 0, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes; Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 4, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ";;Dead Rising;Third person
1935;dead-rising-2-case-west;Sep 24, 2010 - PlayStation 3;;;;Hack and slash/Beat 'em up, Shooter;;Action, Comedy, Horror, Sandbox;Xbox 360: Offline Co-op max players: 0, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;;Dead Rising;
1936;dead-rising-2-case-zero;Aug 31, 2010 - Xbox Live Arcade;;;;Adventure, Hack and slash/Beat 'em up, Shooter, Sport;;Action, Comedy, Horror, Sandbox;;;Dead Rising;
1937;dead-rising-2-off-the-record;"Oct 11, 2011 - PlayStation 3; Oct 11, 2011 - PC (Microsoft Windows); Oct 11, 2011 - Xbox 360; Sep 13, 2016 - PlayStation Network; Sep 13, 2016 - PlayStation 4; Sep 13, 2016 - Xbox One";Capcom;Capcom Game Studio Vancouver, Inc., Mercenary Technology;;Adventure, Hack and slash/Beat 'em up;Co-operative, Multiplayer, Single player;Action, Comedy, Horror, Open world, Sandbox;PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;;Dead Rising;Third person
1938;dead-rising-3;"Nov 22, 2013 - Xbox One; Sep 05, 2014 - PC (Microsoft Windows)";Microsoft Studios, Capcom;Capcom Game Studio Vancouver, Inc.;;Adventure, Role-playing (RPG), Sport;Co-operative, Multiplayer, Single player;Action, Comedy, Horror, Sandbox, Survival;"All platforms: Offline Co-op max players: , Online Co-op max players: , Online max players: , Offline max players: , Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ; Xbox One: Offline Co-op max players: 0, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes";;Dead Rising;Bird view / Isometric, First person, Third person
1939;dead-rising-3-apocalypse-edition;"Nov 22, 2013 - Xbox One; Sep 05, 2014 - PC (Microsoft Windows)";Capcom, Capcom;;;;Co-operative, Multiplayer;;"PC (Microsoft Windows): Offline Co-op max players: , Online Co-op max players: , Online max players: 2, Offline max players: , Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ; Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 2, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ";;Dead Rising;
1940;dead-rising-3-chaos-rising;Feb 21, 2014 - Xbox One;;;;;;;;;Dead Rising;
1941;dead-rising-3-fallen-angel;Feb 11, 2014 - Xbox One;;;;;;;;;Dead Rising;
1942;dead-rising-3-operation-broken-eagle;Jan 21, 2014 - Xbox One;;;;;;;;;Dead Rising;
1943;dead-rising-3-the-last-agent;Mar 19, 2014 - Xbox One;;;;;;;;;Dead Rising;
1944;dead-rising-4;"Dec 06, 2016 - Xbox One; Dec 06, 2016 - PC (Microsoft Windows)";Capcom, Microsoft Studios;Capcom Game Studio Vancouver, Inc.;;Hack and slash/Beat 'em up, Shooter;Co-operative, Multiplayer, Single player;Action, Comedy, Horror, Open world, Sandbox, Survival;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 4, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Dead Rising;Third person
1945;dead-rising-chop-till-you-drop;Feb 19, 2009 - Wii;Capcom;Tose;;Hack and slash/Beat 'em up;Single player;Action, Comedy, Horror, Sandbox, Survival;;;Dead Rising;Third person
1946;dead-rising-triple-pack;"Sep 13, 2016 - PlayStation 4; Sep 13, 2016 - Xbox One; Sep 13, 2016 - PC (Microsoft Windows)";Capcom;Capcom;;Adventure, Hack and slash/Beat 'em up, Simulator;Single player;Action, Horror, Open world, Sandbox, Survival;;;Dead Rising;Third person
1947;dead-space;"Oct 14, 2008 - PlayStation 3; Oct 14, 2008 - Xbox 360; Oct 20, 2008 - PC (Microsoft Windows)";Electronic Arts;EA Redwood Shores;;Shooter;Single player;Action, Horror, Science fiction, Survival;;Godfather engine;Dead Space;Third person
1948;dead-space-2;"Jan 25, 2011 - PlayStation 3; Jan 25, 2011 - PC (Microsoft Windows); Jan 25, 2011 - Xbox 360";Electronic Arts;Visceral Games;Visceral Montreal, Visceral Melbourne;Adventure, Shooter;Co-operative, Multiplayer, Single player;Action, Horror, Science fiction, Survival;;;Dead Space;Third person
1949;dead-space-2-severed;"Mar 01, 2011 - PlayStation 3; Mar 01, 2011 - Xbox 360";;Visceral Games;;Shooter;;Action, Horror, Science fiction;;;Dead Space;Third person
1950;dead-space-3;"Feb 05, 2013 - PlayStation 3; Feb 05, 2013 - PC (Microsoft Windows); Feb 05, 2013 - Xbox 360";Electronic Arts;Visceral Games;;Adventure, Shooter;Co-operative, Single player;Action, Horror, Science fiction, Survival;PlayStation 3: Offline Co-op max players: 0, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;Visceral Engine;Dead Space;Third person
1951;dead-space-3-awakened;"Mar 12, 2013 - PlayStation 3; Mar 12, 2013 - PC (Microsoft Windows); Mar 12, 2013 - Xbox 360";Electronic Arts;Visceral Games;;;;;;;Dead Space;
1952;dead-space-extraction;"Sep 24, 2009 - Wii; Jan 25, 2011 - PlayStation 3";Electronic Arts;Visceral Games, Eurocom;;Shooter;Co-operative, Single player;Horror, Science fiction, Survival;Wii: Offline Co-op max players: 2, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;;Dead Space;First person
1953;dead-space-ignition;"Oct 12, 2010 - PlayStation 3; Oct 12, 2010 - Xbox 360";Electronic Arts;Sumo Digital;Visceral Games;Puzzle;Single player;Horror, Science fiction;;;Dead Space;
1954;dead-star;"Apr 05, 2016 - PlayStation Network; Apr 05, 2016 - PlayStation 4; Apr 05, 2016 - PC (Microsoft Windows)";Armature Studio;Armature Studio;;Arcade, Indie, Real Time Strategy (RTS), Shooter, Strategy;Multiplayer, Single player;Action, Science fiction;;;;Bird view / Isometric
1955;dead-state;Dec 04, 2014 - PC (Microsoft Windows);DoubleBear Productions;DoubleBear Productions;;Indie, Role-playing (RPG), Strategy, Turn-based strategy (TBS);Single player;Horror, Sandbox, Survival;;;Dead State;Bird view / Isometric
1956;dead-synchronicity-tomorrow-comes-today;"Apr 10, 2015 - Mac; Apr 10, 2015 - PC (Microsoft Windows); Aug 19, 2015 - iOS; Oct 04, 2016 - PlayStation 4; Nov 21, 2017 - Nintendo Switch";Daedalic Entertainment, BadLand Games SL;Fictiorama Studios;;Adventure, Indie, Point-and-click;Single player;Drama, Science fiction;;;Dead Synchronicity;Third person
1957;dead-to-rights;"Jun 03, 2002 - PlayStation 2; Jun 03, 2002 - Game Boy Advance; Jun 03, 2002 - Xbox; Jun 03, 2002 - Nintendo GameCube; Jun 03, 2002 - PC (Microsoft Windows)";Namco;Namco;;Adventure, Shooter;Single player;Action;;;Dead to Rights;Third person
1958;dead-to-rights-ii;"Apr 12, 2005 - PlayStation 2; Apr 12, 2005 - Xbox; Apr 12, 2005 - PC (Microsoft Windows)";Namco;Widescreen Games;;Shooter;;Action;;;Dead to Rights;Third person
1959;dead-to-rights-reckoning;Jun 28, 2005 - PlayStation Portable;;;;Shooter;Multiplayer, Single player;Action;;;Dead to Rights;Third person
1960;dead-to-rights-retribution;"Apr 01, 2010 - PlayStation 3; Apr 01, 2010 - Xbox 360";Bandai Namco Entertainment;Volatile Games;;Shooter;;Action;;;Dead to Rights;Third person
1961;deal-or-no-deal;"Nov 06, 2006 - Game Boy Advance; Nov 06, 2006 - Wii; Nov 06, 2006 - PC (Microsoft Windows); Nov 06, 2006 - Nintendo DS";Zoo Games, DSI Games, Mindscape, Global Star Software, Imagination Entertainment;Imagination Entertainment, Cat Daddy Games, Gravity-i, Black Lantern Studios;;Quiz/Trivia, Strategy;Single player;;;;Deal or No Deal;
1962;dear-esther;"Feb 14, 2012 - PC (Microsoft Windows); May 15, 2012 - Mac; Sep 20, 2016 - PlayStation 4; Sep 30, 2016 - Xbox One";The Chinese Room, Curve Digital;The Chinese Room;;Adventure, Indie;Single player;Fantasy;;Source;;First person
1963;dear-esther-landmark-edition;"Sep 20, 2016 - PlayStation Network; Sep 20, 2016 - PlayStation 4; Sep 20, 2016 - Xbox One; Feb 14, 2017 - Mac; Feb 14, 2017 - PC (Microsoft Windows)";The Chinese Room, Curve Digital;The Chinese Room, Rob Briscoe;;Adventure, Indie;Single player;Drama, Fantasy;All platforms: Offline Co-op max players: , Online Co-op max players: , Online max players: , Offline max players: , Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;Unity;;First person
1964;death-by-cube;;;;;;;Science fiction;;;;
1965;death-by-degrees;Jan 27, 2005 - PlayStation 2;Namco;Namco;;Adventure, Fighting;Single player;Action;;;;Side view, Third person
1966;death-by-game-show;"Jan 22, 2016 - Mac; Jan 22, 2016 - Linux; Jan 22, 2016 - PC (Microsoft Windows)";;Oointah Games;;Indie, Strategy;Single player;Action;;;;Side view
1967;death-crimson-ox;Jun 10, 2001 - Arcade;;;;Shooter;;Horror;;;;
1968;"death-end-re;quest";Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again
1969;death-rall;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again
1970;death-road-to-canada;"Jul 21, 2016 - Mac; Jul 21, 2016 - Linux; Jul 21, 2016 - PC (Microsoft Windows); Mar 22, 2017 - iOS; May 08, 2018 - PlayStation 4; May 08, 2018 - Xbox One; May 08, 2018 - Nintendo Switch";Rocketcat Games, Ukiyo Publishing;Rocketcat Games, Rocketcat Games;;Indie, Role-playing (RPG);Co-operative, Multiplayer, Single player, Split screen;Action, Survival;;;;Bird view / Isometric
1971;deathrow;Oct 18, 2002 - Xbox;Ubisoft Entertainment;SouthEnd Interactive;;Fighting, Sport;Single player, Split screen;Action, Science fiction;;;;Third person
1972;deathsmiles;"Oct 19, 2007 - Arcade; Apr 23, 2009 - Xbox 360; Jul 07, 2011 - iOS; Mar 10, 2016 - PC (Microsoft Windows)";AM1, Cave, Aksys Games, Rising Star Games;Cave;;Indie, Shooter;Multiplayer, Single player;Action, Horror;"PC (Microsoft Windows): Offline Co-op max players: 2, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes; Xbox 360: Offline Co-op max players: 2, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes";;Deathsmiles;
1973;deathspank;"Jul 13, 2010 - PlayStation 3; Jul 14, 2010 - Xbox 360; Oct 26, 2010 - Linux; Oct 26, 2010 - PC (Microsoft Windows); Dec 14, 2010 - Mac";Electronic Arts;Hothead Games;;Adventure, Fighting, Hack and slash/Beat 'em up, Indie, Role-playing (RPG);Multiplayer, Single player;Action, Comedy;"PlayStation 3: Offline Co-op max players: 2, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes; Xbox 360: Offline Co-op max players: 2, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes";;;Third person
1974;deathspank-thongs-of-virtue;"Sep 20, 2010 - PlayStation 3; Sep 21, 2010 - PlayStation Network; Sep 22, 2010 - Xbox Live Arcade; Nov 30, 2010 - Linux; Nov 30, 2010 - PC (Microsoft Windows); Dec 14, 2010 - Mac";Electronic Arts;Hothead Games;;Adventure, Hack and slash/Beat 'em up, Indie, Role-playing (RPG);Co-operative, Multiplayer, Single player;Action, Comedy, Fantasy, Historical;Xbox 360: Offline Co-op max players: 2, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;;Deathspank;Third person
1975;death-squared;"Mar 13, 2017 - Mac; Mar 13, 2017 - PC (Microsoft Windows); Mar 14, 2017 - PlayStation 4; Mar 14, 2017 - Xbox One; Jul 13, 2017 - Nintendo Switch";SMG Studio, CIRCLE Entertainment;SMG Studio;Flyhigh Works;Indie, Platform, Puzzle, Strategy;Co-operative, Multiplayer, Single player;Party;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 4, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;;Bird view / Isometric
