id;title;release_dates;publisher;dev;support_dev;genres;game_modes;themes;mult_modes;game_eng;series;perspective;crit_score;user_score
1727;cuphead;"Sep 29, 2017 - Xbox One; Sep 29, 2017 - PC (Microsoft Windows); Apr 18, 2019 - Nintendo Switch";Studio MDHR;Studio MDHR;;Fighting, Indie, Platform;Co-operative, Multiplayer, Single player;Action, Comedy;"Xbox One: Offline Co-op max players: 2, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes; PC (Microsoft Windows): Offline Co-op max players: 2, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes";Unity;;Bird view / Isometric, Side view;88;8,2
1728;curious-george;"Dec 11, 2003 - PlayStation; Feb 01, 2006 - PlayStation 2; Feb 01, 2006 - Game Boy Advance; Feb 01, 2006 - Xbox; Feb 01, 2006 - Nintendo GameCube; Feb 01, 2006 - PC (Microsoft Windows)";Namco, Universal Pictures;Monkey Bar Games;;Adventure, Platform;Single player;Action, Comedy, Horror;;;Gegege No Kitarou;Third person;57;tbd
1729;cursed-mountain;"Aug 21, 2009 - Wii; Feb 05, 2010 - PC (Microsoft Windows)";Deep Silver;Deep Silver Vienna, Sproing Interactive Media;;Adventure, Shooter;Single player;Action, Horror, Mystery, Survival;;;;Third person;67;7,5
1730;curse-the-eye-of-isis;"Oct 21, 2003 - PC (Microsoft Windows); Dec 08, 2003 - Xbox; Feb 27, 2004 - PlayStation 2";DreamCatcher Interactive, Wanadoo Edition;Asylum Entertainment;;Adventure;Single player;Action, Fantasy, Historical, Horror, Survival;;;;;63;6,6
1731;custom-robo;Dec 08, 1999 - Nintendo 64;Nintendo;Noise;;Fighting, Role-playing (RPG);Single player, Split screen;Action;;;Custom Robo;;65;8,2
1732;custom-robo-arena;Oct 19, 2006 - Nintendo DS;Nintendo;Noise;;Role-playing (RPG);Multiplayer, Single player, Split screen;Action;;;Custom Robo;;74;8,3
1733;cyberball-2072;;;;;;;;;;;;41;8,1
1734;cyberdimension-neptunia-4-goddesses-online;"Feb 09, 2017 - PlayStation 4; Feb 27, 2018 - PC (Microsoft Windows)";Compile Heart, Idea Factory International, Inc.;Compile Heart, Tamsoft, Idea Factory;;Role-playing (RPG);Multiplayer, Single player;Action, Science fiction;;Unreal Engine;Hyperdimension Neptunia;Third person;71;7,2
1735;cycle-28;"Mar 09, 2018 - PC (Microsoft Windows); Aug 02, 2018 - Nintendo Switch";Pill Bug Interactive;Pill Bug Interactive;;Arcade, Indie, Simulator;Single player;Action;;;;Bird view / Isometric;69;tbd
1736;cy-girls;Feb 19, 2004 - PlayStation 2;;;;;;Action;;;;;53;8,8
1737;cytus-alpha;Apr 25, 2019 - Nintendo Switch;Flyhigh Works;Rayark Inc.;;Music;Single player;;;;Cytus;Side view;81;7,8
1738;d1-professional-drift-grand-prix-series;Sep 08, 2006 - PlayStation 2;;;;Racing;;;;;;;45;tbd
1739;d2;Dec 23, 1999 - Dreamcast;WARP, SEGA of Japan;WARP;;Adventure, Role-playing (RPG);Single player;Action, Horror, Survival;;;D series;First person, Third person;69;7,7
1740;daemonica;Apr 29, 2006 - PC (Microsoft Windows);cinemax, s.r.o.;cinemax, s.r.o.;;Adventure;Single player;Action;;;;;65;7,7
1741;daemon-x-machina;"Sep 13, 2019 - Nintendo Switch; Feb 13, 2020 - PC (Microsoft Windows)";Nintendo, XSEED Games, Marvelous;Marvelous First Studio;;Hack and slash/Beat 'em up, Shooter;Co-operative, Multiplayer, Single player;Action, Science fiction;;Unreal Engine 4;;Third person;71;6,7
1742;dai-senryaku-vii-modern-military-tactics;;;;;;;;;;;;74;8,8
1743;dakar-18;"Sep 25, 2018 - PlayStation 4; Sep 25, 2018 - Xbox One; Sep 25, 2018 - PC (Microsoft Windows)";Deep Silver;Bigmoon Entertainment;;Adventure, Racing, Simulator, Sport;Multiplayer, Single player;;;;;First person, Third person;59;5,8
1744;damascus-gear-operation-tokyo;"Apr 29, 2015 - PlayStation Network; Mar 01, 2018 - Nintendo Switch";Arc System Works;Arc System Works;;Hack and slash/Beat 'em up, Role-playing (RPG);Single player;Action, Science fiction, Warfare;;;;Bird view / Isometric;59;6,7
1745;damnation;"May 22, 2009 - PlayStation 3; May 22, 2009 - PC (Microsoft Windows); May 22, 2009 - Xbox 360";Codemasters;Blue Omega Entertainment;;Adventure, Shooter;Co-operative, Multiplayer, Single player;Action, Fantasy, Historical, Science fiction;Xbox 360: Offline Co-op max players: 2, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen  yes, Drop in/out ;;;First person, Third person;41;4,2
1746;damsel;"Oct 19, 2018 - PC (Microsoft Windows); Aug 07, 2019 - Xbox One";Screwtape Studios;Screwtape Studios;;Indie, Platform;Single player;Action, Horror;;;;Side view;66;4,4
1747;dance-central;Nov 04, 2010 - Xbox 360;MTV Games, Microsoft Game Studios;Harmonix Music Systems;;Music;Multiplayer, Single player;Party;;;Dance Central;Third person;82;8
1748;dance-central-2;Oct 21, 2011 - Xbox 360;Microsoft Game Studios;Harmonix Music Systems;;Arcade, Music;Multiplayer, Single player, Split screen;Party;Xbox 360: Offline Co-op max players: 2, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;;Dance Central;Third person;86;8,1
1749;dance-central-3;Oct 16, 2012 - Xbox 360;Microsoft;Harmonix Music Systems;;Music;Multiplayer, Single player;Party, Science fiction;Xbox 360: Offline Co-op max players: 2, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;;Dance Central;Third person;86;7,9
1750;dance-central-spotlight;Sep 02, 2014 - Xbox One;Microsoft Studios;Harmonix Music Systems;;Music;Multiplayer, Single player;Action;All platforms: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Dance Central;;74;6,7
1751;dance-dance-revolution;"Nov 21, 1998 - Arcade; Apr 10, 1999 - PlayStation; Nov 16, 2010 - PlayStation 3";Konami;Konami;;Music, Simulator;Single player, Split screen;;;;Dance Dance Revolution;;90;8,4
1752;dance-dance-revolution-disney-channel-edition;Jan 08, 2008 - PlayStation 2;Konami;Keen Games;;Music, Simulator;Multiplayer, Single player;Action, Kids, Party;;;Dance Dance Revolution;;61;tbd
1753;dance-dance-revolution-disney-mix;Oct 17, 2001 - PlayStation;;;;Music;;;;;Dance Dance Revolution;;74;8,2
1754;dance-dance-revolution-extreme;Oct 21, 2004 - PlayStation 2;;;;Music;;Action;;;Dance Dance Revolution;;77;8,5
1755;dance-dance-revolution-extreme-2;Oct 27, 2005 - PlayStation 2;;;;Music;Multiplayer, Single player;Action;;;Dance Dance Revolution;;76;8,8
1756;dance-dance-revolution-hottest-party;Sep 25, 2007 - Wii;Konami Digital Entertainment;Konami Computer Entertainment Tokyo;;Music;;;;;Dance Dance Revolution;Third person;73;7,1
1757;dance-dance-revolution-hottest-party-2;Sep 16, 2008 - Wii;Konami;;;Music;;;;;;;69;6,8
1758;dance-dance-revolution-konamix;May 25, 2002 - PlayStation;;;;Music;;Action;;;Dance Dance Revolution;;84;7,9
1759;dance-dance-revolution-mario-mix;Jul 14, 2005 - Nintendo GameCube;Nintendo;Konami, Nintendo SPD Group No. 2;;Music;Single player, Split screen;;;;Dance Dance Revolution;Side view;69;8,4
1760;dance-dance-revolution-supernova;"Apr 28, 2006 - Arcade; Sep 26, 2006 - PlayStation 2";Konami;Konami;;Music;;;;;Dance Dance Revolution;;73;8,8
1761;dance-dance-revolution-supernova-2;"Aug 22, 2007 - Arcade; Sep 25, 2007 - PlayStation 2";Konami;Konami;;Music;;Action;;;Dance Dance Revolution;;70;8
1762;dance-dance-revolution-ultramix;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;82;8
1763;dance-dance-revolution-ultramix-2;Nov 18, 2004 - Xbox;Konami;Konami;;Music;Multiplayer, Single player, Split screen;;;;Dance Dance Revolution;;78;7,1
1764;dance-dance-revolution-ultramix-3;Nov 15, 2005 - Xbox;Konami;Konami;;Music;Multiplayer, Single player, Split screen;;;;Dance Dance Revolution;;75;8,6
1765;dance-dance-revolution-universe;Feb 27, 2007 - Xbox 360;Konami;Konami;;Music;Multiplayer, Single player, Split screen;;;;Dance Dance Revolution;;74;8
1766;dance-dance-revolution-universe-2;Dec 04, 2007 - Xbox 360;Konami;Konami;;Music;Multiplayer, Single player, Split screen;;;;Dance Dance Revolution;;65;7,4
1767;dance-factory;Sep 29, 2006 - PlayStation 2;;;;Music;;;;;;;56;6
1768;dancemasters;Dec 04, 2010 - Xbox 360;;;;;;;;;;;63;6,4
1769;dance-paradise;Mar 15, 2011 - Xbox 360;;;;Music;;;;;;;59;tbd
1770;dancestar-party-hits;Nov 12, 2012 - PlayStation 3;Sony Computer Entertainment;;;Music;;;;;;;68;tbd
1771;dandara;"Feb 06, 2018 - Mac; Feb 06, 2018 - Android; Feb 06, 2018 - iOS; Feb 06, 2018 - PlayStation 4; Feb 06, 2018 - Xbox One; Feb 06, 2018 - Linux; Feb 06, 2018 - PC (Microsoft Windows); Feb 06, 2018 - Nintendo Switch";Raw Fury Games;Long Hat House;;Adventure, Indie, Platform;Single player;Action, Fantasy;;Unity;;Side view;73;7,4
1772;dandy-dungeon-legend-of-brave-yamada;"TBD - PC (Microsoft Windows); Jan 15, 2016 - Android; Jan 15, 2016 - iOS; Jun 27, 2019 - Nintendo Switch";DMM.com;Onion Games;;Indie, Puzzle, Role-playing (RPG);Single player;Action, Comedy, Fantasy;;;;Bird view / Isometric;77;8
1773;da-new-guys-day-of-the-jackass;;;;;Adventure;;Comedy;;;;;56;5,9
1774;danganronpa-1-2-reload;Apr 14, 2017 - PlayStation 4;NIS America;;;Adventure, Point-and-click, Role-playing (RPG), Visual Novel;;Action, Drama, Horror, Mystery, Thriller;;;;;83;8,1
1775;danganronpa-2-goodbye-despair;"Jul 26, 2012 - PlayStation Portable; Oct 10, 2013 - PlayStation Vita; Apr 18, 2016 - Mac; Apr 18, 2016 - Linux; Apr 18, 2016 - PC (Microsoft Windows)";NIS America, Spike ChunSoft;Spike ChunSoft;Abstraction Games;Adventure, Music, Shooter, Visual Novel;Single player;Action, Horror;;;Danganronpa;First person, Third person;81;8,8
1776;danganronpa-another-episode-ultra-despair-girls;"Sep 01, 2015 - PlayStation Vita; Jun 23, 2017 - PlayStation 4; Jun 30, 2017 - PC (Microsoft Windows)";Spike ChunSoft, NIS America;Spike ChunSoft;;Adventure, Hack and slash/Beat 'em up, Puzzle, Shooter;Single player;Action, Erotic, Horror, Science fiction, Survival;;;Danganronpa;Third person;72;8,3
1777;danganronpa-trigger-happy-havoc;"Nov 25, 2010 - Android; Nov 25, 2010 - iOS; Nov 25, 2010 - PlayStation Portable; Oct 10, 2013 - PlayStation Vita; Mar 18, 2016 - Mac; Mar 18, 2016 - Linux; Mar 18, 2016 - PC (Microsoft Windows)";NIS America, Spike ChunSoft;Spike ChunSoft;Abstraction Games;Adventure, Shooter, Visual Novel;Single player;Action, Horror, Mystery;;;Danganronpa;First person, Third person;82;8,6
1778;danganronpa-v3-killing-harmony;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;81;7,6
1779;danger-girl;Oct 14, 2000 - PlayStation;;;;Shooter;;Action;;;;;43;5,8
1780;dangerous-driving;"Apr 09, 2019 - PlayStation 4; Apr 09, 2019 - Xbox One; Apr 09, 2019 - PC (Microsoft Windows)";Maximum Games;Three Fields Entertainment;;Racing;Multiplayer, Single player;Action;;;;First person, Third person;65;4,7
1781;dangerous-golf;"Jun 03, 2016 - PlayStation Network; Jun 03, 2016 - PlayStation 4; Jun 03, 2016 - Xbox One; Jun 03, 2016 - PC (Microsoft Windows)";Three Fields Entertainment;Three Fields Entertainment;;Arcade, Indie, Sport;Co-operative, Multiplayer, Single player;Action, Sandbox;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 8, Offline max players: 8, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;Unreal Engine;;Third person;63;4,8
1782;dangerous-waters;Feb 22, 2005 - PC (Microsoft Windows);Strategy First;Sonalysts;;Simulator, Strategy;Multiplayer, Single player;;;;;First person, Third person;82;8,6
1783;danger-zone;"May 30, 2017 - PlayStation Network; May 30, 2017 - PlayStation 4; May 30, 2017 - PC (Microsoft Windows); Oct 10, 2017 - Xbox One";Three Fields Entertainment;Three Fields Entertainment;;Indie, Racing;Single player;Action;;Unreal Engine;Danger Zone;Third person;64;tbd
1784;danger-zone-2;"Jul 13, 2018 - PlayStation 4; Jul 13, 2018 - Xbox One; Jul 13, 2018 - PC (Microsoft Windows)";Three Fields Entertainment;Three Fields Entertainment;;Arcade, Indie, Racing;Single player;Action;;;Danger Zone;Third person;69;6
1785;danmaku-unlimited-3;"Mar 09, 2017 - PC (Microsoft Windows); Mar 13, 2018 - Nintendo Switch";Doragon Entertainment;;;Indie, Shooter;Single player;Action, Science fiction;;;;Bird view / Isometric;84;7,9
1786;daredevil;Feb 04, 2003 - Game Boy Advance;Encore, THQ;Griptonite Games;;Hack and slash/Beat 'em up;Single player;Action;;;Marvel;Side view;50;7,6
1787;dariusburst-chronicle-saviours;Dec 03, 2015 - PC (Microsoft Windows);;Pyramid;;Shooter;Multiplayer, Single player;Action;PlayStation 4: Offline Co-op max players: 4, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;;;;80;8,6
1788;dark;"Jul 04, 2013 - PC (Microsoft Windows); Jul 05, 2013 - Xbox 360; Aug 09, 2013 - Xbox Live Arcade";Kalypso Media;Realmforge Studios;;Adventure, Role-playing (RPG), Strategy;Single player;Action, Horror, Stealth;;Vision;Dark;Third person, Virtual Reality;41;4,2
1789;dark-age-of-camelot;Oct 10, 2001 - PC (Microsoft Windows);Mythic Entertainment;Mythic Entertainment;;Role-playing (RPG);Massively Multiplayer Online (MMO);;;;;Third person;88;7,8
1790;dark-age-of-camelot-catacombs;Dec 07, 2004 - PC (Microsoft Windows);Mythic Entertainment;;;Adventure, Role-playing (RPG);Massively Multiplayer Online (MMO);;;;Dark Age of Camelot;;83;7
1791;dark-age-of-camelot-shrouded-isles;;;;;Role-playing (RPG);Massively Multiplayer Online (MMO);;;;;;85;7,4
1792;dark-age-of-camelot-trials-of-atlantis;Oct 28, 2003 - PC (Microsoft Windows);Mythic Entertainment;Mythic Entertainment;;Role-playing (RPG);Massively Multiplayer Online (MMO);;;;;;75;7,3
1793;dark-angelvampire-apocalypse;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;53;5,6
1794;dark-arcana-the-carnival;"Oct 08, 2012 - PC (Microsoft Windows); Mar 17, 2017 - Xbox One; Jun 27, 2017 - PlayStation 4";;Artifex Mundi;;Adventure, Point-and-click;Single player;Mystery;;;;First person;68;tbd
1795;dark-arena;Jan 18, 2002 - Game Boy Advance;Majesco Entertainment, THQ;Graphic State Games;;Shooter;Single player;Action, Science fiction;;;;First person;65;tbd
1796;dark-cloud;"Dec 14, 2000 - PlayStation 2; Dec 05, 2015 - PlayStation 4";Sony Computer Entertainment, Inc. (SCEI);Level-5;;Adventure, Role-playing (RPG), Simulator;Single player;Action, Fantasy;;;Dark Cloud;Third person;80;7,9
1797;dark-cloud-2;"Nov 28, 2002 - PlayStation 2; Jan 19, 2016 - PlayStation 4";Sony Computer Entertainment, Inc. (SCEI);Level-5, SCE Japan Studio;;Role-playing (RPG);Single player;Action, Fantasy;;;Dark Cloud;Third person;87;8,6
1798;dark-devotion;"Apr 25, 2019 - PC (Microsoft Windows); Oct 24, 2019 - PlayStation 4; Oct 24, 2019 - Nintendo Switch";The Arcade Crew, Maple Whispering Limited;Hibernian Workshop;;Adventure, Indie, Role-playing (RPG);Single player;Action;;;;Side view;72;5,8
1799;dark-eclipse;Sep 25, 2018 - PlayStation VR;;Sunsoft;;;Multiplayer;;;;;Virtual Reality;65;6,7
1800;darkened-skye;"Jan 27, 2002 - PC (Microsoft Windows); Nov 16, 2002 - Nintendo GameCube";Simon & Schuster, TDK Mediactive, Oxygen Games;Boston Animation;;Adventure, Role-playing (RPG), Shooter;Single player;Action;;;;Third person;65;6,9
1801;darkest-dungeon;"Jan 19, 2016 - Mac; Jan 19, 2016 - PC (Microsoft Windows); Apr 27, 2016 - Linux; Sep 27, 2016 - PlayStation Network; Sep 27, 2016 - PlayStation Vita; Sep 27, 2016 - PlayStation 4; Aug 24, 2017 - iOS; Jan 18, 2018 - Nintendo Switch";Red Hook Studios;Red Hook Studios;BlitWorks;Indie, Role-playing (RPG), Strategy, Turn-based strategy (TBS);Single player;Fantasy, Historical, Horror;;Custom built engine;;Side view;85;8
1802;darkest-dungeon-the-crimson-court;"Jun 19, 2017 - Mac; Jun 19, 2017 - Linux; Jun 19, 2017 - PC (Microsoft Windows); Aug 22, 2017 - PlayStation Vita; Aug 22, 2017 - PlayStation 4; Dec 31, 2017 - iOS";Red Hook Studios;Red Hook Studios;BlitWorks;Adventure;Single player;Horror;;;;Side view;82;6,4
1803;darkest-of-days;"Sep 07, 2009 - PC (Microsoft Windows); Sep 08, 2009 - Xbox Live Arcade; Sep 08, 2009 - Xbox 360; Dec 06, 2009 - Mac";Valcon Games, Phantom EFX, Virtual Programming;8monkey Labs, Third Wave Games;;Shooter;Single player;Action, Historical, Science fiction, Warfare;;Marmoset;;First person;51;6
1804;dark-fall-3-lost-souls;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;75;7
1805;dark-fall-lights-out;Apr 12, 2004 - PC (Microsoft Windows);;;;Adventure;;Horror;;;Dark Fall;;66;6,4
1806;dark-fall-the-journal;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;68;6,8
1807;dark-horizon;Sep 26, 2008 - PC (Microsoft Windows);;;;Adventure, Simulator;;Science fiction;;;Tarr Chronicles;;55;5,4
1808;dark-messiah-of-might-and-magic;Oct 24, 2006 - PC (Microsoft Windows);Ubisoft Entertainment;Arkane Studios;Floodgate Entertainment, Kuju Entertainment;Fighting, Role-playing (RPG);Multiplayer, Single player;Action, Fantasy;;Source;Might and Magic;First person;72;8,7
1809;dark-messiah-of-might-and-magic-elements;Feb 12, 2008 - Xbox 360;Ubisoft Entertainment;Arkane Studios;Floodgate Entertainment, Kuju Entertainment, Ubisoft Annecy;Adventure, Fighting, Role-playing (RPG);Multiplayer, Single player;Action, Fantasy;;;Dark Messiah;First person;52;6,8
1810;darkness-within-in-pursuit-of-loath-nolder;Nov 06, 2007 - PC (Microsoft Windows);Iceberg Interactive, Lighthouse Interactive;Zoetrope Interactive;;Adventure, Indie;Single player;Horror;;;Darkness Within;;52;7,2
1811;darknet;"Dec 08, 2014 - Android; Mar 28, 2016 - PC (Microsoft Windows); Mar 07, 2017 - PlayStation 4";;;;Indie, Puzzle, Strategy;Single player;;;;;;78;5,4
1812;darkout;Dec 04, 2013 - PC (Microsoft Windows);KISS ltd;Allgraf;;Adventure, Indie, Platform;Single player;Action, Horror, Sandbox, Science fiction, Survival;;;;Side view;55;6,8
1813;dark-planet-battle-for-natrolis;Mar 21, 2002 - PC (Microsoft Windows);Ubisoft;Creative Edge Software;;Shooter, Strategy;;Science fiction, Warfare;;;;Bird view / Isometric;59;7,5
1814;dark-reign-2;Jun 30, 2000 - PC (Microsoft Windows);Activision;Pandemic Studios;;Real Time Strategy (RTS), Strategy;Multiplayer, Single player;Science fiction;;;Dark Reign;Bird view / Isometric;77;7,1
1815;dark-rose-valkyrie;"Jul 21, 2016 - PlayStation 4; Apr 10, 2018 - PC (Microsoft Windows)";Compile Heart, Idea Factory International, Inc.;Compile Heart, Idea Factory;;Role-playing (RPG);Single player;Action, Fantasy;;;;Third person;58;6
1816;dark-sector;"Mar 25, 2008 - PlayStation 3; Mar 25, 2008 - Xbox 360; Mar 23, 2009 - PC (Microsoft Windows); Apr 23, 2013 - Xbox Live Arcade";D3 Publisher, Aspyr Media, ND Games, Zoo Corporation;Digital Extremes, Noviy Disk;;Shooter;Multiplayer, Single player;Action, Horror, Science fiction;;Evolution, PhysX;;Third person;72;7,4
1817;darksiders;"Jan 05, 2010 - PlayStation 3; Jan 05, 2010 - Xbox 360; Sep 23, 2010 - Linux; Sep 23, 2010 - PC (Microsoft Windows)";THQ;Vigil Games;;Adventure, Hack and slash/Beat 'em up, Role-playing (RPG);Single player;Action, Fantasy, Open world;;Phoenix Engine (Relic);Darksiders;Third person;83;7,7
1818;darksiders-genesis;"Dec 05, 2019 - PC (Microsoft Windows); Dec 05, 2019 - Google Stadia; Feb 14, 2020 - PlayStation 4; Feb 14, 2020 - Xbox One; Feb 14, 2020 - Nintendo Switch";THQ Nordic;Airship Syndicate;;Adventure, Hack and slash/Beat 'em up, Role-playing (RPG);Co-operative, Multiplayer, Single player;Action, Fantasy;;;Darksiders;Bird view / Isometric, Third person;78;7,4
1819;darksiders-ii;"Aug 14, 2012 - PlayStation 3; Aug 14, 2012 - PC (Microsoft Windows); Aug 14, 2012 - Xbox 360; Nov 18, 2012 - Wii U; Nov 20, 2012 - PlayStation Network; Sep 26, 2019 - Nintendo Switch";THQ, Spike ChunSoft;Vigil Games;;Adventure, Hack and slash/Beat 'em up, Role-playing (RPG);Single player;Action, Fantasy, Open world;;;Darksiders;Third person;85;7,7
1820;darksiders-ii-deathinitive-edition;"Oct 27, 2015 - PlayStation 4; Oct 27, 2015 - Xbox One; Nov 05, 2015 - PC (Microsoft Windows); Sep 26, 2019 - Nintendo Switch";THQ Nordic;Vigil Games, THQ Nordic;;Adventure, Hack and slash/Beat 'em up, Role-playing (RPG);Single player;Action, Fantasy, Open world;All platforms: Offline Co-op max players: , Online Co-op max players: , Online max players: , Offline max players: , Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Darksiders;Third person;77;8
1821;darksiders-iii;"Nov 27, 2018 - PlayStation 4; Nov 27, 2018 - Xbox One; Nov 27, 2018 - PC (Microsoft Windows)";THQ Nordic;Gunfire Games;;Adventure, Hack and slash/Beat 'em up, Role-playing (RPG);Single player;Action, Fantasy, Open world;;;Darksiders;Third person;70;7,1
1822;darksiders-iii-keepers-of-the-void;;;;;;;;;;;;59;1,8
1823;darksiders-warmastered-edition;"Nov 22, 2016 - PlayStation 4; Nov 22, 2016 - Xbox One; Nov 22, 2016 - Wii U; Nov 29, 2016 - PC (Microsoft Windows); Apr 02, 2019 - Nintendo Switch";THQ Nordic;THQ Nordic;;Adventure, Hack and slash/Beat 'em up, Role-playing (RPG);Single player;Action, Fantasy, Open world;All platforms: Offline Co-op max players: , Online Co-op max players: , Online max players: , Offline max players: , Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Darksiders;Third person;81;7,6
1824;dark-souls;"Sep 22, 2011 - PlayStation 3; Oct 04, 2011 - Xbox 360; Aug 23, 2012 - PC (Microsoft Windows)";Bandai Namco Entertainment;FromSoftware;;Adventure, Hack and slash/Beat 'em up, Role-playing (RPG);Co-operative, Multiplayer, Single player;Action, Fantasy, Historical, Horror, Open world, Sandbox, Survival;;;Dark Souls;Third person;89;8,5
1825;dark-souls-artorias-of-the-abyss;"Aug 24, 2012 - PC (Microsoft Windows); Oct 23, 2012 - PlayStation 3; Oct 23, 2012 - Xbox 360";FromSoftware, Namco Bandai Games;FromSoftware;;Role-playing (RPG);Co-operative, Single player;Action, Fantasy, Survival;"PlayStation 3: Offline Co-op max players: , Online Co-op max players: , Online max players: , Offline max players: , Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ; PC (Microsoft Windows): Offline Co-op max players: , Online Co-op max players: , Online max players: , Offline max players: , Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ";;Dark Souls;Third person;89;8,7
1826;dark-souls-ii;"Mar 11, 2014 - PlayStation 3; Mar 11, 2014 - Xbox 360; Apr 25, 2014 - PC (Microsoft Windows)";FromSoftware, Bandai Namco Entertainment;FromSoftware;;Adventure, Role-playing (RPG);Co-operative, Multiplayer, Single player;Action, Fantasy, Historical, Open world, Survival;"All platforms: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ; PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 3, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ";;Dark Souls;Third person;91;7,9
1827;dark-souls-ii-crown-of-the-ivory-king;"Sep 24, 2014 - PlayStation 3; Sep 24, 2014 - PC (Microsoft Windows); Sep 24, 2014 - Xbox 360";FromSoftware, Namco Bandai Games;FromSoftware;;Role-playing (RPG);Co-operative, Multiplayer, Single player;Action, Fantasy, Survival;;;Dark Souls;Third person;87;8,4
1828;dark-souls-ii-crown-of-the-old-iron-king;"Aug 26, 2014 - PlayStation 3; Aug 26, 2014 - PC (Microsoft Windows); Aug 26, 2014 - Xbox 360";FromSoftware, Bandai Namco Games;FromSoftware;;Adventure, Role-playing (RPG);Co-operative, Single player;Fantasy, Open world, Survival;;;Dark Souls;Third person;83;8,1
1829;dark-souls-ii-crown-of-the-sunken-king;"Jul 22, 2014 - PlayStation 3; Jul 22, 2014 - PC (Microsoft Windows); Jul 22, 2014 - Xbox 360";FromSoftware, Namco Bandai Games;FromSoftware;;Role-playing (RPG);Co-operative, Multiplayer, Single player;Action, Fantasy, Survival;;;Dark Souls;Third person;83;8,1
1830;dark-souls-iii;"Mar 24, 2016 - PlayStation 4; Mar 24, 2016 - Xbox One; Mar 24, 2016 - PC (Microsoft Windows)";Bandai Namco Entertainment, FromSoftware;FromSoftware;;Adventure, Role-playing (RPG);Co-operative, Multiplayer, Single player;Action, Fantasy, Historical, Open world;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 6, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Dark Souls;Third person;89;8,4
1831;dark-souls-iii-ashes-of-ariandel;"Oct 25, 2016 - PlayStation Network; Oct 25, 2016 - PlayStation 4; Oct 25, 2016 - Xbox One; Oct 25, 2016 - PC (Microsoft Windows)";Bandai Namco Entertainment;FromSoftware;;Adventure, Role-playing (RPG);Co-operative, Multiplayer, Single player;Action, Fantasy, Open world;;;Dark Souls;Third person;73;7,3
